ID,SpeakerName,SpeakingContent,CharImage
1,“鬼”,......,Deserter
2,我,老爷爷，你来啦。想吃点什么？,
3,“鬼”,一份...树皮...,Deserter
4,我,咦？我们店里没有树皮，给您推荐盐葱香煎牛肉怎么样？风味又管饱。您牙齿不好的话，可以试试虾滑或南瓜浓汤，我帮您煮烂一些。,
5,“鬼”,多吃点...就能跑回家...,Deserter
6,“鬼”,不！我不跑了...我不是鬼...,Deserter
7,我,老爷爷，您不是鬼，以后也不会是。,
8,我,（之前食客说老爷爷150岁以上了，一百多年前，吃过树皮...,
9,我,（？！难道老爷爷年轻时是军人吗？,
10,“鬼”,打仗……山里……河……,Deserter
11,“鬼”,我想家。媳妇儿……小凤……,Deserter
12,“鬼”,我跑……三座山……脚……血……,Deserter
13,“鬼”,家……灶台……长草……,Deserter
14,“鬼”,我不该......逃跑……战场.....,Deserter
15,“鬼”,小孩...我是疯子，对....我是鬼，鬼...,Deserter
16,“鬼”,伥鬼！哈哈哈哈..咳咳...,Deserter
17,我,天下之大，怎么会让想回家的人变成鬼呢？您活了这么久，家人一定是您最重要的寄托。,
18,我,您喝点水，慢慢说。您还记得他们的样子吗？记得的话可以告诉我，我帮您找家人的下落。,
19,“鬼”,小龙啊..那小子从小就调皮，六岁那年掏鸡蛋被田鸡追着啄。小凤唱歌特别好听，走到河边她便唱，歌声穿过炊烟百里到咱家...,Deserter
