ID,SpeakerName,SpeakingContent,CharImage
1,我,（意识在黑暗里浮沉...,
2,我,（头痛...头痛...,
3,我,这里...是哪？,
4,“天才”,呀，命定之人，你终于醒啦。,Genius
5,我,命，命定之人？,
6,“天才”,让我用最直白最不绕弯子的话告诉你，你已经成为了这座灵啵食堂新一届命定打工人。,Genius
7,我,打工？我？在这里？,
8,我,（陌生的环境、奇装异服的人...还是先和家人取得联系比较好，免得他们担心了。,
9,我,（！！！没有手机！,
10,我,（好在口袋里还有一点钱...,
11,我,那个...您可以借我一下电话吗？我想联系一下家人。我可以支付酬劳的。,
12,“天才”,电话？新潮货！我没有。我最近在卖蒸汽大象钟，感兴趣的话给你打折！,Genius
13,我,不用了，谢谢。那我可以问您一些问题吗？,
14,“天才”,当然可以！身为原住民，我知道的情报肯定比你一个异邦人多。,Genius
15,“天才”,我可以告诉你很多关于这里的线索，至于酬劳，来给我做饭吧！我现在很饿。,Genius
16,我,（这也太草率了吧！我也完全不记得自己手艺怎么样...,
17,“天才”,身为顾客，我的耐心值可是有限的哦，倒计时结束我就会离开。,Genius
18,“天才”,点击配方可以查看已解锁食材的做法。,Genius
19,“天才”,灵啵食堂的后厨分为【备菜区】和【烹调区】。顾名思义，就是处理食材和烹饪食材的地方。,Genius
20,“天才”,除了食材格以外，冰箱和橱柜里也有你需要的东西。,Genius
21,“天才”,拖动食材到厨具上，即可完成食材的处理。,Genius
22,“天才”,备菜区处理完成的食材会自动转移到烹调区。,Genius
23,“天才”,在烹调区，可以使用的厨具有灶台上的锅和烤箱。,Genius
24,“天才”,拖动配方中的所有食材到锅里后，点击开火，注意别烧糊了！,Genius
25,“天才”,烹饪进度结束后，拖出成品菜，点击送餐铃，菜品消失订单就是完成了。,Genius
26,“天才”,灵啵食堂不愧是超出三界的震撼招牌！嗯嗯，这顿饭我收下了。,Genius
27,我,三界？除此之外还有别的地方吗？,
28,“天才”,也许有，也许没有呢。,Genius
29,我,那我该怎么离开这里？,
30,“天才”,嗯..这个算重要情报。介于这顿饭我付过金币了，等到下次我吃霸王餐的时候，再告诉你吧ww,Genius
31,我,喂！别走！,
32,我,（我没眼花吧，她是坐喷气背包走的？!,
33,我,（一直留在这里也不是办法，在有限的时间内经营好这家食堂，并想办法找线索吧。,
