#	天数配置表				
#	DayId	CustomerCount	UnlockIngIds	UnlockDishIds	PlotId
#	int	int	string	string	int
#	天数	当天的顾客总数	解锁食材ID列表（用英文逗号隔开）	解锁配方ID列表	剧情顾客对话
	1	2	"1001,1002,1003"	"2001,2002,2003"	1
	2	3			
	3	6			
	4	7	"1004,1005,1006,1007"	"2004,2005,2006,2007"	2
	5	8			3
	6	8			
	7	8			
	8	9	"1008,1009"	"2008,2009,2010"	
	9	10			4
	10	10			
	11	12	"1010,1011,1012"	"2011,2012,2013"	
	12	15			5
	13	15			
	14	15			
	15	15	"1013,1014"	"2015,2016,2017,2018"	
	16	16			6
	17	18			7
	18	18	"1015,1016"	"2019,2020,2021,2022"	8
	19	18			9
	20	18			10
