DishId,Name,AssetName,IngIdList,PotId,SeasonIdList,EarnMoney
2001,金盏南瓜浓汤,Dishes_PumpkinSoup,"1001",5004,"4003,4005",30
2002,蘑菇滑鸡煲,Dishes_ChickenWithMushroom,"1002,1018",5003,"4004",35
2003,柠檬雪葩,Dishes_LemonSorbet,"1003",5004,"4005",25
2004,鱼汤,Dishes_FishSoup,"1019,1007",5004,"4001,4004,4006",40
2005,盐葱香煎牛肉,Dishes_BeefWithScallions,"1017,1004,1007",5001,"4001,4004,4006",55
2006,牛排,Dishes_Steak,"1017,1002,1005",5001,"4001,4004,4006",65
2007,柠檬虾滑,Dishes_LemonShrimpPaste,"1021,1003,1006,1007",5004,"4002,4005",50
2008,仰望星空派,Dishes_StargazyPie,"1019,1022,1008",5005,"4002",60
2009,石板烤肉,Dishes_StoneGrilledMeat,"1020,1006",5005,"4002,4004",55
2010,蒜泥青苹果酱香煎鸡排,Dishes_AppleChickenCutlet,"1004,1009,1018",5001,"4002,4004,4005,4006",50
2011,青苹果柠檬果冻杯,Dishes_AppleJellyCup,"1009,1003,1011,1010",5004,"4003,4005",40
2012,烤鱼,Dishes_ToastedFish,"1019,1006,1003,1007",5005,"4001,4002,4004",55
2013,番茄肉酱面,Dishes_TomatoMeatNoodles,"1022,1012,1020,1004",5001,"4004,4005,4006",45
2014,蛋炒饭,Dishes_EggFriedRice,"1013,1023,1018,1007",5001,"4004",35
2015,水晶山楂糕,Dishes_HawthornJelly,"1014,1011",5002,"4005",30
2016,牛肉滑蛋饭,Dishes_RiceWithSlicedBeefEggs,"1013,1023,1017",5001,"4004,4006",55
2017,番茄酿肉,Dishes_TomatoStuffedWithMeat,"1012,1020,1004,1002,1023",5005,"4004,4006",50
2018,芝士肉酱夹心土豆饼,Dishes_CheesePotatoPancake,"1015,1023,1017,1008",5001,"4002,4004,4006",60
2019,青菜鸡蛋面,Dishes_VeggieAndEggNoodles,"1022,1023,1016,1007",5004,"4001,4002,4004,4006",40
2020,沙拉,Dishes_Salad,"1016,1018,1023,1004,1008,1010",5001,"4002,4004,4006",45
2021,小鸡滑蛋浇汁饭,Dishes_Oyakodon,"1013,1023,1015,1017",5004,"4002,4004",50
